,NB,DT,LR,KNN
No FS,0.0,0.0,0.0,0.0
IG (FFR),4.2253521126760605,-1.9402985074626746,1.3698630136986312,-1.42857142857143
GS (FSS),4.2253521126760605,11.56716417910449,1.0273972602739734,0.714285714285715
