,NB,DT,LR,KNN
No FS,79.31438752241834,82.92676399778425,86.35853489721599,83.85048187260156
IG,81.16055648236843,76.9873433686173,86.48773222995682,77.6424433791806
CFS+GS,86.44020062024813,87.06736834258808,85.91515211287268,82.99667509131893
