,NB,DT,LR,KNN
No FS,0.0,0.0,0.0,0.0
IG (FRR),0.5917159763313713,0.5747126436781594,-0.5617977528089987,-2.82485875706214
GS (FSS),5.325443786982259,2.2988505747126498,0.0,0.0
