,NB,DT,LR,KNN
No FS,0.0,0.0,0.0,0.0
IG (FRR),11.627906976744178,-1.9230769230769162,0.0,-1.8518518518518454
GS (FSS),25.581395348837198,7.6923076923076925,0.0,1.8518518518518583
