,NB,DT,LR,KNN
No FS,68.25396825396825,82.53968253968253,88.88888888888889,85.71428571428571
IG (FRR),76.19047619047619,80.95238095238095,88.88888888888889,84.12698412698413
GS (FSS),85.71428571428571,88.88888888888889,88.88888888888889,87.3015873015873
