,NB,DT,LR,KNN
No FS,75.51020408163265,85.71428571428571,79.59183673469387,79.59183673469387
IG (FRR),73.46938775510205,61.224489795918366,81.63265306122449,67.3469387755102
GS (FSS),83.6734693877551,83.6734693877551,79.59183673469387,73.46938775510205
