,NB,DT,LR,KNN
No FS,79.70974838659933,100.0,88.33484244134782,100.0
IG (FRR),83.19046220426966,99.97703788748565,86.89903249875269,99.97703788748565
GS (FSS),86.97702492502401,89.06666127767735,88.05770517066185,88.99903651603805
