,NB,DT,LR,KNN
No FS,72.85223367697594,69.7594501718213,75.94501718213058,70.79037800687286
IG (FRR),73.19587628865979,65.63573883161511,73.8831615120275,69.7594501718213
GS (FSS),74.22680412371135,73.8831615120275,72.5085910652921,70.44673539518901
