,NB,DT,LR,KNN
No FS,93.37016574585635,96.13259668508289,98.34254143646407,97.79005524861878
IG (FRR),93.92265193370166,96.68508287292816,97.79005524861878,95.02762430939228
GS (FSS),98.34254143646407,98.34254143646407,98.34254143646407,97.79005524861878
