,NB,DT,LR,KNN
No FS,0.0,0.0,0.0,0.0
IG (FRR),-2.702702702702691,-28.571428571428566,2.564102564102567,-15.384615384615389
GS (FSS),10.810810810810825,-2.3809523809523707,0.0,-7.692307692307687
