,NB,DT,LR,KNN
No FS,0.0,0.0,0.0,0.0
IG (FRR),0.4716981132075455,-5.911330049261079,-2.714932126696823,-1.456310679611661
GS (FSS),1.8867924528301974,5.911330049261094,-4.524886877828052,-0.4854368932038817
