,NB,DT,LR,KNN
No FS,86.58536585365853,81.70731707317073,89.02439024390245,85.36585365853658
IG (FFR),90.2439024390244,80.1219512195122,90.2439024390244,84.14634146341463
GS (FSS),90.2439024390244,91.15853658536585,89.9390243902439,85.97560975609755
